uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1015956,LaCoe Dalton,J,1995,USA,52.92,170,117,271,559,538.63
2,1015957,Pineda John,J,1996,Canada,51.99,145,110,202,457,449.03
3,1015958,Gómez Izquierdo Jesús David,J,1988,Colombia,52.75,160,95,185,440,425.38
1,1015959,Ramos Andres,J,1999,USA,58.59,212,117,227,557,486.04
2,1015960,Luo Jason,J,1995,Canada,58.79,195,120,241,556,483.63
3,1015961,Firizky Adriano,J,1996,Indonesia,58.55,190,127,195,512,447.09
4,1015962,Tan Daniel,J,1997,Singapore,58.05,190,105,200,495,435.32
5,1015963,Jay Daniel,J,1995,Great Britain,58.92,145,112,207,465,403.28
1,1015964,Berglund Eddie,J,1995,Sweden,65.80,227,205,240,673,529.76
2,1015965,Bey Dallas,J,1995,USA,65.90,232,162,270,665,522.81
3,1015966,Pho Clifton,J,1995,Canada,65.12,215,137,285,638,506.56
4,1015967,Allison Jake,J,1995,Canada,65.92,210,135,265,610,479.45
5,1015968,Santelices Renzo,J,1997,Ecuador,65.44,217,130,252,600,474.45
6,1015969,Natorski Dawid,J,1995,Poland,65.63,192,135,237,565,445.70
7,1015970,Santiago Juan,J,1996,Mexico,65.44,175,110,212,497,393.39
1,1015971,Lehew Blake Stephen,J,1995,USA,73.90,255,175,305,735,529.20
2,1015972,Seay Micheal,J,1996,USA,73.93,263,177,257,698,502.78
3,1015973,Monigatti Timothy,J,1996,New Zealand,73.70,257,140,290,688,496.32
4,1015974,Mishin Ilya,J,1995,Russia,73.86,217,142,272,632,455.58
5,1015975,Pang Ashton Xue Qun,J,1995,Singapore,73.08,227,127,275,630,457.24
6,1015976,Winsala Nathan,J,1998,Great Britain,73.84,237,132,260,630,453.87
7,1015977,Egawa Kota,J,1996,Japan,73.55,240,125,240,605,437.08
8,1015978,Chua Jonathan Shao Wei,J,1995,Singapore,72.85,225,125,250,600,436.46
9,1015979,Devilly Conor,J,1996,Ireland,71.62,205,142,240,587,432.74
10,1015980,Yagi Ryoma,J,1997,Japan,73.73,220,140,215,575,414.68
11,1015981,Ferran Sean,J,1997,Ireland,71.08,210,125,207,542,401.86
12,1015982,Silva Marcio Vinicius,J,1995,Brazil,73.01,170,127,237,535,388.56
