uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016315,Kula Zuzanna,J,1999,Poland,42.32,92,55,115,262,379.07
2,1016316,Tran Sandra,J,1995,USA,39.32,92,50,105,247,373.20
1,1016317,Schavinska Tetyana,J,1996,Ukraine,46.28,112,83,142,338,459.63
2,1016318,Domashina Tatyana,J,1998,Belarus,46.59,117,62,132,312,422.93
3,1016319,Zhilkina Alisa,J,1995,Russia,46.14,105,75,130,310,422.46
4,1016320,Ho Emily,J,1995,USA,46.64,117,65,115,297,402.32
5,1016321,Szymanel Paulina,J,1995,Poland,46.11,100,65,122,287,391.98
6,1016322,Mai-On Kotchaphan,J,1995,Ireland,46.84,85,60,122,267,360.64
7,1016323,Gatto Maria Anabela,J,1998,Brazil,46.96,90,52,107,250,336.43
1,1016324,Corrigan Evie,J,1996,New Zealand,51.80,140,85,160,385,482.01
2,1016325,Sengsourigna Tiffany,J,1995,Canada,51.14,132,77,162,372,470.37
3,1016326,Onishi Shoko,J,1999,Japan,51.80,140,60,145,345,431.37
4,1016327,Rizzuto Sophia,J,1996,USA,51.94,125,77,140,342,427.35
5,1016328,Demore Sophie,J,1997,Canada,51.49,125,60,140,325,408.25
6,1016329,Turenko Margarita,J,1995,Ukraine,51.12,117,67,127,312,394.73
7,1016330,Kannowsky Lea,J,1995,Germany,51.47,112,70,130,312,392.66
8,1016331,Pearce Tiarna,J,1996,Great Britain,51.48,112,55,135,302,380.04
9,1016332,Hussain Shehnaz,J,1998,New Zealand,51.53,107,57,125,290,364.06
1,1016333,Jones Rachel,J,1995,Australia,55.00,147,75,172,395,471.37
2,1016334,Elizarova Anna,J,1995,Russia,56.99,140,90,162,392,455.52
3,1016335,Määttä Krista,J,1995,Finland,56.56,135,80,160,375,437.80
4,1016336,Smith Catherine,J,1995,Great Britain,54.76,125,62,177,364,436.46
5,1016337,Schulze Veronika,J,1997,Germany,55.37,135,75,152,362,430.32
6,1016338,McLeod Elspeth,J,1995,Great Britain,56.77,127,80,147,355,413.25
7,1016339,Sundal Haune Katrine,J,1995,Norway,56.90,132,85,130,347,403.79
8,1016340,Martinez Diana,J,1997,Mexico,54.32,115,57,160,332,400.67
9,1016341,Kroll Samantha,J,1997,USA,56.49,105,80,137,322,376.87
10,1016342,Leighton Megan,J,1996,South Africa,56.56,110,65,135,310,361.91
11,1016343,Opocenska Veronika,J,1999,Czech Republic,56.60,110,60,130,300,350.04
1,1016344,Lewis Solana,J,1996,USA,61.61,157,77,190,425,464.26
2,1016345,Rud Sofiya,J,1997,Ukraine,61.78,142,90,182,415,452.38
3,1016346,Looi Abigail,J,1995,Singapore,62.84,160,77,177,415,446.55
4,1016347,Yeung Lorraine,J,1995,Canada,62.10,140,72,182,395,428.88
5,1016348,Wikner Moa,J,1995,Great Britain,62.25,137,85,172,395,428.09
6,1016349,Lloyd Whittington Emily,J,1997,Great Britain,62.39,140,77,177,395,427.36
7,1016350,Maltais Justine,J,1996,Canada,62.90,140,92,160,392,422.04
8,1016351,Lohivuo Tuulia,J,1997,Finland,62.93,140,90,157,387,416.51
9,1016352,Limbrick Amie,J,1995,New Zealand,62.42,122,87,170,380,410.98
10,1016353,O'Sullivan Aoife,J,1995,Ireland,62.07,125,65,160,350,380.16
11,1016354,Tsutsumi Ayaka,J,1995,Japan,62.53,135,72,140,347,375.33
12,1016355,Santin Maria,J,1995,Mexico,62.35,115,57,142,315,340.97
0,1016356,Hewitt Stephanie,J,1995,Ireland,61.32,105,67,140,0,0
1,1016357,Buettner Jessica,J,1995,Canada,71.68,181,95,227,504,493.39
2,1016358,Olsson Vilma,J,1999,Sweden,71.10,177,107,187,472,465.09
3,1016359,Doublin Kloie,J,1999,USA,71.11,155,115,185,455,447.82
4,1016360,Lorentzen Dina,J,1999,Norway,69.52,142,87,175,405,404.83
5,1016361,McLean Abigail,J,1998,Great Britain,71.58,147,77,180,405,396.84
6,1016362,Samountry Alisa,J,1996,New Zealand,69.88,135,75,190,400,398.41
7,1016363,Augustiniok Sandra,J,1999,Germany,68.18,145,90,162,397,402.81
8,1016364,Tremblay Camille,J,1998,Canada,71.84,160,85,152,397,388.55
9,1016365,Zmeskalova Klara,J,1997,Czech Republic,68.19,137,70,170,377,382.50
10,1016366,Oskarsdottir Matthildur,J,1999,Iceland,70.57,140,95,142,377,373.47
1,1016367,Williams Chrystal,J,1995,Great Britain,82.57,177,107,210,495,445.29
2,1016368,Hensley Gina,J,1995,USA,76.85,165,100,185,450,421.44
3,1016369,Feteris Isabelle,J,1995,Netherlands,83.65,157,100,185,442,395.42
4,1016370,Lim Olivia,J,1996,Canada,83.63,160,85,190,435,388.77
5,1016371,Tanche-Larsen Karoline,J,1995,Norway,83.78,167,97,167,432,386.18
6,1016372,Persson Sandra,J,1995,Norway,73.59,152,75,172,400,384.87
1,1016373,Hewitt LeeAnn,J,1999,USA,150.15,227,95,227,550,423.17
2,1016374,Chester Charlie,J,1996,Great Britain,110.07,187,95,180,462,375.99
3,1016375,Gardiner Sarah,J,1997,Ireland,97.23,147,77,162,387,325.43
4,1016376,O'Leary Aoife,J,1997,Ireland,89.03,150,57,177,385,334.19
5,1016377,Puusaari Saara,J,1997,Finland,89.58,147,70,145,362,313.84
