uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1044562,Byambaa Ganbold,M2,1962,Mongolia,58.20,125,87,150,362,318.02
2,1044563,Baublys Vidmantas,M2,1965,Lithuania,58.58,135,95,132,362,316.09
1,1044564,Ruso Karel,M2,1965,Czech Republic,65.60,225,90,205,520,410.35
2,1044565,Wimmer Michael,M2,1961,Germany,64.35,130,105,185,420,336.82
3,1044566,Junaniya Jagdish,M2,1961,India,64.50,112,75,137,325,260.12
1,1044567,McGurk Bernie,M2,1968,Great Britain,73.25,242,140,280,662,480.03
2,1044568,Rakhimov Alimbek,M2,1966,Kyrgyzstan,73.90,230,175,257,662,477.00
3,1044569,Taniguchi Koichi,M2,1960,Japan,73.75,195,155,220,570,411.00
4,1044570,Terakado Hiroyuki,M2,1960,Japan,70.70,215,135,210,560,416.50
5,1044571,Boillot Christopher,M2,1963,USA,73.50,200,137,217,555,401.15
6,1044572,Sahlgren Jan,M2,1960,Denmark,73.85,202,137,202,542,390.79
7,1044573,Dansranjav Boldbaatar,M2,1966,Mongolia,73.35,180,150,205,535,387.26
1,1044574,Garofalo Ronald,M2,1961,USA,81.43,272,147,287,707,477.72
2,1044575,Olsen Geir Ottar,M2,1965,Norway,81.20,245,145,245,635,429.51
3,1044576,Bryant Andrew,M2,1966,Canada,82.75,240,167,227,635,424.62
4,1044577,Cencich Thomas,M2,1960,USA,81.95,182,182,182,547,368.25
5,1044578,Maguujin Erdene Ochir,M2,1966,Mongolia,81.10,185,150,170,505,341.84
6,1044579,Banzar Bayaraa,M2,1963,Mongolia,81.75,150,130,210,490,330.07
1,1044580,Höglander Lars,M2,1964,Sweden,92.60,260,182,250,692,435.92
2,1044581,Sekot Michael,M2,1961,Czech Republic,91.00,250,180,240,670,425.35
3,1044582,Hagfors Harri,M2,1961,Finland,91.10,255,142,265,662,420.36
4,1044583,Damdinsuren Enkhjargal,M2,1965,Mongolia,91.90,257,185,220,662,418.56
5,1044584,Blacknell Keith,M2,1963,Great Britain,93.00,250,140,242,632,397.33
6,1044585,Sambuu Jargalsaikhan,M2,1963,Mongolia,91.90,225,152,245,622,393.29
7,1044586,Daniel Mark,M2,1962,USA,90.60,227,165,227,620,394.48
8,1044587,Mutrie James,M2,1964,Great Britain,92.00,230,160,215,605,382.03
9,1044588,Dally Gerald,M2,1960,USA,88.95,227,122,227,577,370.91
1,1044589,Opstad Odd Arne,M2,1968,Norway,101.85,280,212,282,775,468.29
2,1044590,Svec Imrich,M2,1965,Slovak Republic,99.15,285,220,267,772,471.76
3,1044591,Krockover Alan,M2,1968,USA,102.40,282,182,267,732,441.71
4,1044592,Doyod Badrakh,M2,1959,Mongolia,102.20,250,115,215,580,350.01
5,1044593,Sahni Shyam,M2,1959,India,94.85,130,100,150,380,236.54
0,1044594,Iijima Tsunehiro,M2,1967,Japan,104.30,280,160,220,0,0
1,1044595,Laitala Tapani,M2,1963,Finland,114.20,290,215,250,755,439.52
2,1044596,Simokatis Rimantas,M2,1965,Lithuania,107.75,230,180,222,632,374.66
0,1044597,Lkhanaa Jargalsaikhan,M2,1968,Mongolia,119.50,290,200,260,0,0
1,1044598,Larsson P.-O.,M2,1967,Sweden,121.95,282,212,275,770,441.08
2,1044599,Keyes Robert,M2,1960,USA,141.95,272,217,265,755,421.04
3,1044600,Thielking Udo,M2,1961,Germany,130.65,225,215,245,685,387.09
4,1044601,Patru Valentin,M2,1968,Romania,133.30,270,145,250,665,374.49
