uvrstitev,ID_tekmovalca,ime,razred,letnica_rojstva,drzava,teza,pocep,potisk_s_prsi,mrtvi_dvig,skupaj,tocke
1,1016033,Śledż Sławomir,M1,1976,Poland,58.57,185,140,200,525,457.85
2,1016034,Brinker Ron,M1,1975,USA,58.35,152,100,177,430,376.33
1,1016035,Alcantara Anderson,M1,1976,Brazil,65.67,195,135,270,600,473.46
2,1016036,Noppers Lewis,M1,1970,Canada,65.53,195,135,255,585,462.06
3,1016037,Rheaume Jean-Sebastien,M1,1974,Canada,65.70,205,130,235,570,449.25
4,1016038,Murray Greig,M1,1971,Great Britain,65.10,165,127,232,525,416.94
5,1016039,Cagliola Michael,M1,1970,USA,65.70,177,132,215,525,413.78
6,1016040,Bernard Mikael,M1,1970,France,65.02,167,145,210,522,415.39
7,1016041,Hamilton-Smith Roger,M1,1975,Great Britain,65.18,180,115,225,520,412.55
8,1016042,McLaren Paul,M1,1974,Ireland,65.84,162,87,237,487,383.55
1,1016043,Kean Tom,M1,1972,Canada,73.77,220,152,245,617,445.16
2,1016044,Langset Jøran,M1,1977,Norway,73.36,220,135,250,605,437.89
3,1016045,Sanduijav Enkhbat,M1,1974,Mongolia,73.06,205,127,250,582,422.85
4,1016046,Taskinen Pekka,M1,1978,Finland,73.66,212,130,237,580,418.57
5,1016047,Heiskanen Timo,M1,1970,Finland,73.32,192,115,262,570,412.72
6,1016048,Jackson Jason,M1,1974,USA,73.32,195,125,235,555,401.86
7,1016049,Muir Sean,M1,1970,Australia,73.90,190,122,232,545,392.40
1,1016050,Sipiläinen Pasi,M1,1978,Finland,82.75,227,165,290,682,456.39
2,1016051,Rowe Benjamin,M1,1976,USA,82.32,250,160,255,665,446.07
3,1016052,Mills PK,M1,1975,Canada,82.65,225,147,282,655,438.31
4,1016053,Turakhanov Davranbek,M1,1974,Kazakhstan,80.70,232,142,257,632,429.46
5,1016054,Sanaki Munetaka,M1,1978,Japan,81.96,220,147,250,617,415.31
6,1016055,Mohamed Marie,M1,1977,Egypt,80.65,205,150,257,612,416.04
7,1016056,Daniels Marlon,M1,1975,South Africa,81.14,230,160,215,605,409.41
8,1016057,Smolczyk Jan,M1,1970,Germany,79.20,190,142,245,577,396.79
9,1016058,Greindl Bernhard,M1,1969,Germany,77.20,135,107,172,415,289.94
1,1016059,Garcia Gabriel,M1,1975,Mexico,91.09,270,172,287,730,463.22
2,1016060,Summers Brandon,M1,1977,Canada,92.20,267,192,270,730,460.48
3,1016061,Butt Jeffrey,M1,1970,Canada,92.47,257,165,272,695,437.78
4,1016062,Caron Loic,M1,1976,France,92.26,220,160,242,622,392.55
5,1016063,Hoffman Gjelsnes Ruben,M1,1973,Norway,92.46,220,135,230,585,368.51
1,1016064,Pauli Daniele,M1,1978,Switzerland,103.25,280,187,295,762,458.39
2,1016065,Rada Karel,M1,1973,Czech Republic,104.24,285,170,285,740,443.33
3,1016066,Thacker Christopher,M1,1977,USA,104.74,265,192,265,722,432.11
4,1016067,Janardhan Sujay,M1,1976,India,99.13,230,102,285,617,377.13
5,1016068,Takezawa Akihiro,M1,1973,Japan,101.12,220,182,212,615,372.64
DQ,1016069,Ballil Nezar,M1,1978,Marocco,100.43,190,172,210,572,347.82
1,1016070,Stills Ryan,M1,1976,USA,118.39,285,205,360,850,490.25
2,1016071,Vihola Antti,M1,1975,Finland,119.30,287,210,307,805,463.45
3,1016072,Demčák Pavol,M1,1977,Czech Republic,118.45,290,217,295,802,462.80
4,1016073,Koiak Hassan,M1,1972,Lebanon,117.09,285,190,305,780,451.11
5,1016074,Pullar Collin,M1,1972,Canada,120.00,290,185,287,762,438.38
6,1016075,Greville Darren,M1,1970,Great Britain,117.04,240,167,250,657,380.30
7,1016076,Subramanya Natraj,M1,1974,India,105.01,220,157,260,637,380.93
8,1016077,Benzler Marcel,M1,1974,Germany,117.15,230,160,242,632,365.76
1,1016078,Mike Jaisyn,M1,1977,USA,143.46,330,281,312,923,514.21
2,1016079,Grotjahn Jamey,M1,1974,USA,178.11,310,247,322,880,474.39
3,1016080,Simpson Josh,M1,1977,Canada,143.15,310,235,292,837,466.47
4,1016081,Bonin Erick,M1,1972,France,133.25,275,210,270,755,425.20
5,1016082,Shioya Haruhisa,M1,1974,Japan,142.15,190,130,200,520,289.93
